arm,transaction_cost,n_days,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar
regime_shuffled,0.005,3503,4.638504769491771,0.13249811210230877,0.18744610030332015,0.7580973718175555,0.958010760895925,-0.3162677720646879,0.41894281936260086
regime_shuffled,0.01,3503,2.2535492895107376,0.08857445670210407,0.18863289768202027,0.5447331511269494,0.6903631832940617,-0.35866131468031204,0.2469584900201844
regime_shuffled,0.015,3503,0.8794453893503043,0.04643737361886102,0.19051637652306516,0.33397834095209916,0.42267390858304005,-0.3983412916886443,0.1165768515285076
regime_volq,0.0,3503,8.056528220323019,0.17176963065443096,0.1911777419019179,0.9254393605180017,1.1639595490944785,-0.3191755001268216,0.5381667157603882
regime_volq,0.005,3503,4.34575634422388,0.12816278498519318,0.19163231655775148,0.725692627148018,0.9170021771318596,-0.32159119658782764,0.39852703166329206
regime_volq,0.01,3503,2.1617068815643634,0.08633439365468454,0.19276908911844973,0.5264876312009397,0.6668900714147803,-0.35173600385710224,0.24545225028984838
regime_volq,0.015,3503,0.8717993271255815,0.04613053996283267,0.19456102246825627,0.3295713281039619,0.41697521111649594,-0.38902253872598147,0.11858063574904067
static,0.0,3503,8.597567327068028,0.17667097977832436,0.18347709221396366,0.9791317934562558,1.2302903260773665,-0.31536103309881724,0.5602181665956337
static,0.005,3503,3.997001976922543,0.12270072242143404,0.18414183660746278,0.7211505893831207,0.9106027060111257,-0.3199703881414093,0.3834752432378432
static,0.01,3503,1.6098713654601093,0.07144747582993483,0.18579315927034998,0.46481240960322806,0.5883159425037078,-0.370160311741355,0.1930176563063246
static,0.015,3503,0.3662183581305909,0.02270196887553877,0.18837875673761867,0.2138157246131522,0.2695194993274401,-0.4216375149480145,0.053842383731764934
static_matched_moments_hmm,0.0,3503,8.682436327628917,0.17741644563592995,0.18415558175657656,0.9796157041508965,1.2315225753667185,-0.31150972031457247,0.5695374303465367
static_matched_moments_hmm,0.005,3503,6.29201434615038,0.1536440131050094,0.1843669873086913,0.8680065040407677,1.0940653537533649,-0.31464920301052457,0.48830256563488017
static_matched_moments_hmm,0.01,3503,4.495763366859576,0.13041103027929912,0.18486365364927157,0.7560666930164553,0.9543889460130234,-0.3177585468694505,0.4104091976883248
static_matched_moments_hmm,0.015,3503,3.1434300967592668,0.10767372471094272,0.1856365762145616,0.6441930567528283,0.812724579319173,-0.33044189130427926,0.32584768319157825
static_matched_regime_hmm,0.0,3503,8.970917168690683,0.17990582281659018,0.18475005666958025,0.9885391942833579,1.2380917175640689,-0.32041549725600904,0.5614766587673725
static_matched_regime_hmm,0.005,3503,4.9788818243943025,0.13728353133066906,0.18522648137659278,0.7877295852795799,0.990984276384567,-0.3236320819696129,0.42419629875742404
