arm,regime,n_days,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar
pinned_crisis,TURBULENT,209.0,0.2455993966013572,0.30317186195043844,0.1624885965654631,1.7110665288840725,2.6217864397104225,-0.09532219083613447,3.18049616034961
regime_gmm,CALM,3039.0,0.7547402015793871,0.047732991359330734,0.19208501148135576,0.33936535987645,0.42066712973709386,-0.40124406084669484,0.11896248696767202
regime_gmm,CRISIS,254.0,0.22794590419808713,0.22596207676091207,0.19066378320951324,1.164013951651652,1.6689305824507177,-0.15910475758755482,1.4202094279711648
regime_gmm,TURBULENT,209.0,0.4019194574012839,0.5028308621636601,0.18677733002928518,2.275199704473142,3.4203217231044833,-0.075832031990262,6.6308504330759765
regime_hmm,CALM,3039.0,0.8698111728066018,0.05326588280325928,0.1943423010157339,0.3647773818554919,0.45360086042045145,-0.40770029163068755,0.13064960682321464
regime_hmm,CRISIS,254.0,0.22983526620879635,0.22783352222053344,0.1885698999489722,1.1829256930865,1.6969527704774716,-0.15765057070484567,1.4451804468699623
regime_hmm,TURBULENT,209.0,0.3777817321871382,0.4716875933266409,0.1952436630013074,2.0773463437769073,3.124568351194341,-0.09197641235568699,5.128353903417674
regime_hmm_calibrated,CALM,3039.0,1.0622787214976763,0.0618576890867375,0.20649419348609158,0.3944753745506992,0.4960803543368714,-0.42106866678836863,0.1469064168524976
regime_hmm_calibrated,CRISIS,254.0,0.2280323264165911,0.22604767994438135,0.18323366615842313,1.2040121930839076,1.7433534566273698,-0.14081334290156122,1.6053001461829164
regime_hmm_calibrated,TURBULENT,209.0,0.3859656417269117,0.4822342584735051,0.20623378812462034,2.011979949210656,2.902146567144451,-0.08808122119615469,5.474881614090947
regime_oracle,CALM,3039.0,0.7933029884227789,0.0496233254100793,0.1913326909919614,0.349368703949283,0.4323377298902778,-0.4007597321639945,0.12382313248421123
regime_oracle,CRISIS,254.0,0.22089079212500584,0.2189736666216746,0.19093048908537194,1.1326951609260976,1.62381694825317,-0.16058045265850007,1.3636383694057521
regime_oracle,TURBULENT,209.0,0.41669676992542937,0.5219516646279623,0.17454440559532622,2.494717820019169,3.8357410437202444,-0.07228728292473807,7.220518513213347
regime_shuffled,CALM,3039.0,0.6323157967740549,0.04146853004837525,0.1857753306227345,0.31214193655332706,0.3863582302462723,-0.4028474442811819,0.10293854568785794
regime_shuffled,CRISIS,254.0,0.38046193490221136,0.37696176541571935,0.21580062357729962,1.5907993018499227,2.276766272622535,-0.15937022848371352,2.365321107977467
regime_shuffled,TURBULENT,209.0,0.45831097710317015,0.5760171539967938,0.1930889933444141,2.4537110008895997,3.7936504577376478,-0.09377809502415224,6.142342237261723
regime_volq,CALM,3039.0,0.8453321085082348,0.05211554308526134,0.19258597043615627,0.36066183695469883,0.4477787004810962,-0.38571619832060555,0.135113700985778
regime_volq,CRISIS,254.0,0.25731916163598334,0.2550542496587447,0.19615313681261254,1.2564625321836047,1.8554790608629748,-0.15686273107522497,1.6259709869288905
regime_volq,TURBULENT,209.0,0.3763310432111926,0.46981942194045767,0.19097653598687603,2.112830122086501,3.2003778892268016,-0.09051849756596975,5.190313964259669
static,CALM,3039.0,0.3897792887609328,0.027669237699720517,0.18325773102246617,0.2410959602572291,0.29779148916786896,-0.413610555453362,0.06689683649246338
static,CRISIS,254.0,0.31961640593303153,0.31673778757688864,0.21079607784100285,1.4110758191361734,2.0574198166302358,-0.17156015865174612,1.8462199502848555
static,TURBULENT,209.0,0.43729837565561036,0.5486771743637924,0.1887673516732884,2.4127108635447683,3.7451097717313835,-0.09758593672521598,5.622502511901548
static_matched_moments_hmm,CALM,3039.0,1.6931327387952417,0.08562001072113978,0.182484996081877,0.541972514669494,0.6679519775587252,-0.33121609908818006,0.258501959768402
static_matched_moments_hmm,CRISIS,254.0,0.39059599536674994,0.38699024834266615,0.21013914696176425,1.662501474767279,2.4065620020967264,-0.13791227454144606,2.8060609516404287
static_matched_moments_hmm,TURBULENT,209.0,0.48214490317226955,0.6071262262852204,0.18533623293236376,2.654103449177537,4.133387429035454,-0.0752023219009611,8.07323777960985
static_matched_regime_hmm,CALM,3039.0,0.8560761018518548,0.05262214610785865,0.18390172008261643,0.3713791226268914,0.4570252789365962,-0.37567660087746146,0.14007299359329273
static_matched_regime_hmm,CRISIS,254.0,0.34732638174321795,0.34416735187685354,0.21147223529400958,1.5048444397732335,2.1893309830285057,-0.16474133514798406,2.0891378084783305
static_matched_regime_hmm,TURBULENT,209.0,0.4503563582893204,0.5656576179194588,0.1882721962942337,2.476567679646448,3.8233759142522374,-0.09160142488607692,6.175205447109117
static_matched_tilt_hmm,CALM,3039.0,1.4282833019314602,0.07634078826737767,0.1830882017676847,0.4939311996446276,0.6066801425379644,-0.3381785110276675,0.22574109760963487
static_matched_tilt_hmm,CRISIS,254.0,0.3708652456848278,0.36746452101429283,0.2124752474205344,1.5797367979566541,2.281396865515387,-0.14984017204447642,2.452376528940583
static_matched_tilt_hmm,TURBULENT,209.0,0.4740757171308363,0.5965823656301437,0.18466186060083697,2.6274564192211267,4.1043487801958,-0.07680768956684703,7.767221862739771
tilt_constant,CALM,3039.0,1.8987421420956179,0.09226331991813619,0.18317715215862038,0.5739091806386419,0.7024346149466926,-0.3380359481173917,0.2729393735547184
tilt_constant,CRISIS,254.0,0.2562694502556053,0.2540146763462101,0.2625264375784647,0.9935880633863493,1.4929233872597023,-0.19312204620245876,1.3153064672891608
tilt_constant,TURBULENT,209.0,0.6134820586054757,0.780368381525659,0.1956971535628883,3.0476469903827095,4.674243260999548,-0.07368772612586927,10.590208472340118
tilt_hmm,CALM,3039.0,1.4996917266694343,0.07893068809420267,0.17400341860064267,0.5240199842299251,0.6471549944299296,-0.3369188575693398,0.23427209941182436
tilt_hmm,CRISIS,254.0,0.1254189665108001,0.1243724116356455,0.2022990630697975,0.6805491251054446,0.9819378548217544,-0.16892878806072564,0.7362416617287088
tilt_hmm,TURBULENT,209.0,0.4101240315243677,0.5134419111482966,0.1620206065020253,2.6398269539643313,4.263430194560199,-0.06584626166615382,7.797586349723103
